plant_name,disease_name,disease_type,symptoms,causes,prevention,treatment,affected_parts,severity
Mango,Anthracnose,Fungal,"Dark, sunken lesions on leaves, twigs and fruit; fruit develops black rotten spots as it ripens.","Colletotrichum fungus thriving in warm, humid, wet weather; spread by rain splash.","Prune for good airflow, avoid overhead watering, remove fallen leaves and mummified fruit.",Spray copper-based fungicide at flowering and fruit set; remove and destroy infected plant parts.,"Leaves, twigs, fruit",Moderate to High
Mango,Powdery Mildew,Fungal,"White powdery coating on young leaves, shoots and flower panicles; distorted new growth.","Fungal spores favoured by warm days, cool nights and poor air circulation.","Prune to open up the canopy, avoid excess nitrogen fertilizer, space trees adequately.",Apply wettable sulfur or neem oil spray at first sign of infection; repeat every 7-10 days.,"Leaves, young shoots, flowers",Moderate
Mango,Root Rot,Fungal,Wilting and yellowing leaves despite moist soil; roots turn brown/black and mushy; stunted growth.,"Waterlogged, poorly drained soil favouring Phytophthora/Pythium fungi.","Plant in well-drained soil or raised beds; avoid overwatering, especially in monsoon.","Improve drainage, trim away rotten roots, apply a systemic fungicide drench.","Roots, root collar",High
Mango,Bacterial Canker / Leaf Spot,Bacterial,Water-soaked spots on leaves that turn brown with a yellow halo; raised corky lesions on fruit and twigs.,Xanthomonas bacteria spread by wind-driven rain and contaminated pruning tools.,"Use certified disease-free planting material, disinfect pruning tools, avoid overhead irrigation.",Spray copper-based bactericide; prune and destroy infected branches.,"Leaves, fruit, twigs",High
Mango,Fruit Fly Infestation,Pest,Small puncture marks on ripening fruit; maggots tunnelling inside causing premature fruit drop and rot.,Fruit flies (Bactrocera spp.) laying eggs in maturing fruit.,"Use pheromone/methyl eugenol traps, bag fruit clusters, maintain orchard sanitation.",Apply approved insecticide bait spray; collect and destroy fallen infested fruit.,Fruit,Moderate to High
Mango,Sooty Mould,Fungal (secondary),"Black sooty coating over leaves and stems, reducing photosynthesis and vigour.","Growth of sooty mould fungus on honeydew excreted by aphids, scale or mealybugs.",Control sap-sucking insect pests early; encourage natural predators like ladybirds.,Wash off with a mild soap-water spray; treat the underlying insect infestation with neem oil.,"Leaves, stems",Low to Moderate
Lichi,Anthracnose,Fungal,"Dark, sunken lesions on leaves, twigs and fruit; fruit develops black rotten spots as it ripens.","Colletotrichum fungus thriving in warm, humid, wet weather; spread by rain splash.","Prune for good airflow, avoid overhead watering, remove fallen leaves and mummified fruit.",Spray copper-based fungicide at flowering and fruit set; remove and destroy infected plant parts.,"Leaves, twigs, fruit",Moderate to High
Lichi,Powdery Mildew,Fungal,"White powdery coating on young leaves, shoots and flower panicles; distorted new growth.","Fungal spores favoured by warm days, cool nights and poor air circulation.","Prune to open up the canopy, avoid excess nitrogen fertilizer, space trees adequately.",Apply wettable sulfur or neem oil spray at first sign of infection; repeat every 7-10 days.,"Leaves, young shoots, flowers",Moderate
Lichi,Root Rot,Fungal,Wilting and yellowing leaves despite moist soil; roots turn brown/black and mushy; stunted growth.,"Waterlogged, poorly drained soil favouring Phytophthora/Pythium fungi.","Plant in well-drained soil or raised beds; avoid overwatering, especially in monsoon.","Improve drainage, trim away rotten roots, apply a systemic fungicide drench.","Roots, root collar",High
Lichi,Bacterial Canker / Leaf Spot,Bacterial,Water-soaked spots on leaves that turn brown with a yellow halo; raised corky lesions on fruit and twigs.,Xanthomonas bacteria spread by wind-driven rain and contaminated pruning tools.,"Use certified disease-free planting material, disinfect pruning tools, avoid overhead irrigation.",Spray copper-based bactericide; prune and destroy infected branches.,"Leaves, fruit, twigs",High
