plant_name,scientific_name,moisture,temperature,humidity,sunlight,soil_type,nitrogen,phosphorus,potassium,watering_frequency,growth_duration
Mango,Mangifera indica,50-70%,24-35°C,50-60%,Full Sun,Well-drained alluvial/loamy soil,High,Medium,High,2-3 times per week,5-8 years (fruiting)
Lichi,Litchi chinensis,60-70%,20-35°C,70-80%,Full Sun,Well-drained sandy loam,Medium,Medium,High,2-3 times per week,4-7 years (fruiting)
Strawberry,Fragaria × ananassa,60-80%,15-25°C,60-75%,Full Sun,Well-drained sandy loam,Medium,High,High,Daily (shallow roots),90-110 days
Acanthocereus,Acanthocereus tetragonus,20-30%,22-38°C,30-50%,Full Sun,"Sandy, well-drained cactus mix",Low,Low,Low,Once every 2 weeks,3-5 years (maturity)
Orange,Citrus sinensis,50-70%,22-32°C,55-65%,Full Sun,Well-drained sandy loam,High,Medium,High,2-3 times per week,3-5 years (fruiting)
Spring Onion Plant,Allium fistulosum,60-75%,13-24°C,50-70%,Full Sun,Well-drained loamy soil,Medium,Medium,Medium,3-4 times per week,60-90 days
Radish Plant,Raphanus sativus,60-80%,10-18°C,50-65%,Full Sun,"Loose, well-drained sandy loam",Low,Medium,Medium,3-4 times per week,25-35 days
Lemon,Citrus limon,50-70%,20-30°C,50-65%,Full Sun,Well-drained loamy or sandy loam,High,Medium,High,2-3 times per week,2-3 years (fruiting)
Dahlia,Dahlia pinnata,60-75%,15-28°C,50-70%,Full Sun,Well-drained rich loamy soil,Medium,High,High,2-3 times per week,90-120 days
Tuberose,Polianthes tuberosa,50-70%,20-35°C,60-70%,Full Sun,Well-drained sandy loam,Medium,High,Medium,2-3 times per week,120-150 days
Bougainvillea,Bougainvillea spectabilis,40-60%,22-35°C,40-60%,Full Sun,Well-drained loamy or sandy soil,Low,Medium,Medium,Once per week,1-2 years (flowering)
Oleander,Nerium oleander,30-50%,18-35°C,30-60%,Full Sun,Well-drained loamy or sandy soil,Low,Low,Medium,Once per week,1-2 years (maturity)
