plant_name,country,state_or_region,continent,native_status,cultivation_status,climate_zone,best_growing_season,best_growing_months,temperature_min,temperature_max,annual_rainfall_min,annual_rainfall_max,humidity_min,humidity_max,altitude_min,altitude_max,soil_suitability,water_availability,sunlight_condition,frost_tolerance,heat_tolerance,drought_tolerance,salinity_tolerance,wind_tolerance,common_growing_method,commercial_production,remarks,,
Mango,India,Tamil Nadu,Asia,No,Commercial,Tropical,Summer,March-June,24,35,750,2500,50,80,0,1500,Well-drained Loamy,Moderate to High,Full Sun,Low,High,Medium,Low,Medium,Orchard,Yes,India is one of the world's largest mango producers.,,
Mango,India,Uttar Pradesh,Asia,No,Commercial,Subtropical,Summer,May-July,20,38,650,1200,45,75,0,300,Alluvial Loam,Moderate,Full Sun,Low,High,Medium,Low,Medium,Orchard,Yes,Known for Dasheri mango cultivation.,,
Mango,India,Andhra Pradesh,Asia,No,Commercial,Tropical,Summer,April-June,24,36,700,1100,50,75,0,800,Red Loamy,Moderate,Full Sun,Low,High,Medium,Low,Medium,Orchard,Yes,Banganapalli mango is widely cultivated.,,
Mango,Pakistan,Punjab,Asia,No,Commercial,Subtropical,Summer,May-July,22,40,250,750,40,70,0,500,Loamy,Moderate,Full Sun,Low,High,Medium,Low,Medium,Orchard,Yes,Famous for Chaunsa and Sindhri mangoes.,,
Mango,Bangladesh,Rajshahi,Asia,No,Commercial,Tropical,Summer,May-July,23,34,1200,2000,60,85,0,500,Loamy,High,Full Sun,Low,Medium,Low,Low,Medium,Orchard,Yes,Rajshahi is a major mango-producing region.,,
Mango,Thailand,Chiang Mai,Asia,No,Commercial,Tropical,Summer,March-May,24,35,1000,1800,60,85,200,800,Sandy Loam,Moderate,Full Sun,Low,High,Medium,Low,Medium,Orchard,Yes,Major exporter of fresh mangoes.,,
Mango,Philippines,Luzon,Asia,No,Commercial,Tropical,Summer,March-May,24,34,1500,2500,65,85,0,600,Loamy,High,Full Sun,Low,High,Low,Low,Medium,Orchard,Yes,Produces the famous Carabao mango.,,
Mango,Mexico,Sinaloa,North America,No,Commercial,Tropical,Summer,April-July,22,36,500,1200,50,75,0,1000,Sandy Loam,Moderate,Full Sun,Low,High,Medium,Low,Medium,Orchard,Yes,One of the largest mango exporters to North America.,,
Mango,Brazil,Bahia,South America,No,Commercial,Tropical,Summer,October-January,23,35,700,1500,55,80,0,800,Loamy,Moderate,Full Sun,Low,High,Medium,Low,Medium,Orchard,Yes,Commercial export production.,,
Mango,Australia,Queensland,Australia,No,Commercial,Tropical,Summer,September-February,20,35,600,1500,45,75,0,500,Sandy Loam,Moderate,Full Sun,Low,High,Medium,Low,Medium,Orchard,Yes,Grown mainly in northern Australia.,,
Lichi,India,Bihar,Asia,No,Commercial,Subtropical,Summer,May-June,20,35,1000,1800,60,85,0,500,Deep Loamy,Moderate,Full Sun,Low,Medium,Low,Low,Medium,Orchard,Yes,Bihar is India's leading litchi producer.,,
Lichi,India,West Bengal,Asia,No,Commercial,Tropical,Summer,May-June,22,34,1200,2000,65,85,0,300,Alluvial Loam,Moderate,Full Sun,Low,Medium,Low,Low,Medium,Orchard,Yes,Commercial cultivation is widespread.,,
Lichi,India,Uttarakhand,Asia,No,Commercial,Subtropical,Summer,May-July,18,30,900,1500,60,80,300,1200,Loamy,Moderate,Full Sun,Medium,Medium,Low,Low,Medium,Orchard,Yes,Grown in foothill regions.,,
Lichi,China,Guangdong,Asia,Yes,Commercial,Subtropical,Summer,May-July,20,33,1200,2000,65,90,0,800,Loamy,High,Full Sun,Low,Medium,Low,Low,Medium,Orchard,Yes,China is the native home of litchi.,,
Lichi,China,Fujian,Asia,Yes,Commercial,Subtropical,Summer,May-July,20,32,1300,1800,65,90,0,700,Well-drained Loam,High,Full Sun,Low,Medium,Low,Low,Medium,Orchard,Yes,Produces premium-quality fruits.,,
Lichi,Bangladesh,Rajshahi,Asia,No,Commercial,Tropical,Summer,May-June,22,34,1200,1800,65,85,0,300,Loamy,Moderate,Full Sun,Low,Medium,Low,Low,Medium,Orchard,Yes,Major fruit-growing region.,,
Lichi,Nepal,Terai,Asia,No,Commercial,Subtropical,Summer,May-June,18,32,1000,1600,60,80,100,500,Alluvial Loam,Moderate,Full Sun,Medium,Medium,Low,Low,Medium,Orchard,Yes,Commonly cultivated in southern Nepal.,,
Lichi,Thailand,Chiang Rai,Asia,No,Commercial,Tropical,Summer,April-June,22,34,1200,1900,65,85,200,800,Sandy Loam,Moderate,Full Sun,Low,Medium,Low,Low,Medium,Orchard,Yes,Commercial orchards are expanding.,,
