plant_name,season,region,watering_frequency,water_amount_liters,fertilizer_type,fertilizer_amount,nitrogen_requirement,phosphorus_requirement,potassium_requirement,micronutrients_required,sunlight_requirement,temperature_range_celsius,humidity_range_percent,wind_tolerance,care_instructions
Mango,Summer,Tamil Nadu,Every 2-3 days,15-20 L,NPK 10-10-10,500 g/tree,Medium,Medium,High,Zinc; Boron; Iron,Full Sun,25-40°C,45-65%,Medium,Deep watering helps fruit development.
Mango,Summer,Uttar Pradesh,Every 2-3 days,15-20 L,NPK 10-10-10,500 g/tree,Medium,Medium,High,Zinc; Boron; Iron,Full Sun,27-42°C,35-55%,Medium,Deep watering helps fruit development.
Mango,Summer,Andhra Pradesh,Every 2-3 days,15-20 L,NPK 10-10-10,500 g/tree,Medium,Medium,High,Zinc; Boron; Iron,Full Sun,26-41°C,45-65%,Medium,Deep watering helps fruit development.
Mango,Summer,Bihar,Every 2-3 days,15-20 L,NPK 10-10-10,500 g/tree,Medium,Medium,High,Zinc; Boron; Iron,Full Sun,26-41°C,45-65%,Medium,Deep watering helps fruit development.
Mango,Summer,Karnataka,Every 2-3 days,15-20 L,NPK 10-10-10,500 g/tree,Medium,Medium,High,Zinc; Boron; Iron,Full Sun,24-39°C,45-65%,Medium,Deep watering helps fruit development.
Mango,Winter,Tamil Nadu,Every 10-15 days,5-10 L,Organic Compost,5 kg/tree,Low,Medium,High,Calcium; Magnesium,Full Sun,15-28°C,45-65%,Medium,Reduce watering during cool months.
Mango,Winter,Uttar Pradesh,Every 10-15 days,5-10 L,Organic Compost,5 kg/tree,Low,Medium,High,Calcium; Magnesium,Full Sun,17-30°C,35-55%,Medium,Reduce watering during cool months.
Mango,Winter,Andhra Pradesh,Every 10-15 days,5-10 L,Organic Compost,5 kg/tree,Low,Medium,High,Calcium; Magnesium,Full Sun,16-29°C,45-65%,Medium,Reduce watering during cool months.
Mango,Winter,Bihar,Every 10-15 days,5-10 L,Organic Compost,5 kg/tree,Low,Medium,High,Calcium; Magnesium,Full Sun,16-29°C,45-65%,Medium,Reduce watering during cool months.
Mango,Winter,Karnataka,Every 10-15 days,5-10 L,Organic Compost,5 kg/tree,Low,Medium,High,Calcium; Magnesium,Full Sun,14-27°C,45-65%,Medium,Reduce watering during cool months.
Mango,Monsoon,Tamil Nadu,Every 7 days,5-8 L,Vermicompost,3 kg/tree,Medium,High,Medium,Calcium; Magnesium,Full Sun,22-35°C,75-95%,Medium,Ensure proper drainage and avoid waterlogging.
Mango,Monsoon,Uttar Pradesh,Every 7 days,5-8 L,Vermicompost,3 kg/tree,Medium,High,Medium,Calcium; Magnesium,Full Sun,24-37°C,65-85%,Medium,Ensure proper drainage and avoid waterlogging.
Mango,Monsoon,Andhra Pradesh,Every 7 days,5-8 L,Vermicompost,3 kg/tree,Medium,High,Medium,Calcium; Magnesium,Full Sun,23-36°C,75-95%,Medium,Ensure proper drainage and avoid waterlogging.
Mango,Monsoon,Bihar,Every 7 days,5-8 L,Vermicompost,3 kg/tree,Medium,High,Medium,Calcium; Magnesium,Full Sun,23-36°C,75-95%,Medium,Ensure proper drainage and avoid waterlogging.
Mango,Monsoon,Karnataka,Every 7 days,5-8 L,Vermicompost,3 kg/tree,Medium,High,Medium,Calcium; Magnesium,Full Sun,21-34°C,75-95%,Medium,Ensure proper drainage and avoid waterlogging.
Mango,Autumn,Tamil Nadu,Every 5-7 days,8-10 L,Farmyard Manure,5 kg/tree,Medium,Medium,High,Zinc; Iron,Full Sun,20-32°C,55-75%,Medium,Prepare tree for flowering.
Mango,Autumn,Uttar Pradesh,Every 5-7 days,8-10 L,Farmyard Manure,5 kg/tree,Medium,Medium,High,Zinc; Iron,Full Sun,22-34°C,45-65%,Medium,Prepare tree for flowering.
